model,provider,mode,in_per_mtok,cached_in_per_mtok,out_per_mtok,currency,max_input_tokens,max_output_tokens,source,fetched_at
azure/eu/gpt-5.1,azure,chat,1.38,0.14,11,USD,272000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/eu/gpt-5.1-chat,azure,chat,1.38,0.14,11,USD,128000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/eu/gpt-5.4,azure,chat,2.75,0.28,16.5,USD,1050000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/eu/gpt-5.5,azure,chat,5.5,0.55,33,USD,1050000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/eu/gpt-5.6,azure,chat,5.5,0.55,33,USD,922000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/eu/gpt-5.6-luna,azure,chat,0.22,0.022,1.32,USD,922000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/eu/gpt-5.6-sol,azure,chat,5.5,0.55,33,USD,922000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/eu/gpt-5.6-terra,azure,chat,2.2,0.22,13.2,USD,922000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-4.1,azure,chat,2,0.5,8,USD,1047576,32768,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-4.1-mini,azure,chat,0.4,0.1,1.6,USD,1047576,32768,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-4.1-nano,azure,chat,0.1,0.025,0.4,USD,1047576,32768,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-4o,azure,chat,2.5,1.25,10,USD,128000,16384,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-4o-mini,azure,chat,0.165,0.075,0.66,USD,128000,16384,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5,azure,chat,1.25,0.125,10,USD,272000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5-chat,azure,chat,1.25,0.125,10,USD,128000,16384,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5-chat-latest,azure,chat,1.25,0.125,10,USD,128000,16384,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5-mini,azure,chat,0.25,0.025,2,USD,272000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5-nano,azure,chat,0.05,0.005,0.4,USD,272000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5.1,azure,chat,1.25,0.125,10,USD,272000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5.1-chat,azure,chat,1.25,0.125,10,USD,128000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5.2,azure,chat,1.75,0.175,14,USD,272000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5.2-chat,azure,chat,1.75,0.175,14,USD,128000,16384,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5.3-chat,azure,chat,1.75,0.175,14,USD,128000,16384,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5.4,azure,chat,2.5,0.25,15,USD,1050000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5.4-mini,azure,chat,0.75,0.075,4.5,USD,272000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5.4-nano,azure,chat,0.2,0.02,1.25,USD,272000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
azure/gpt-5.5,azure,chat,5,0.5,30,USD,1050000,128000,https://raw.githubusercontent.com/BerriAI/litellm/main/model_prices_and_context_window.json,2026-08-27
